course1,course2,n_students
4042GKY001M20250,3033ÍSE031G20250,1
3033ÍSE031G20250,5053UAU260M20250,1
5053UAU260M20250,3033ÍSE031G20250,1
3033ÍSE031G20250,6061UAU441L20250,1
6061UAU441L20250,3033ÍSE031G20250,1
3033ÍSE033G20250,4042GKY001M20250,1
4042GKY001M20250,3033ÍSE033G20250,1
3033ÍSE033G20250,5053UAU260M20250,1
5053UAU260M20250,3033ÍSE033G20250,1
3033ÍSE033G20250,6061UAU441L20250,1
6061UAU441L20250,3033ÍSE033G20250,1
4042GKY001M20250,5053UAU260M20250,1
5053UAU260M20250,4042GKY001M20250,1
4042GKY001M20250,6061UAU441L20250,1
6061UAU441L20250,4042GKY001M20250,1
5053UAU260M20250,6061UAU441L20250,3
6061UAU441L20250,5053UAU260M20250,3
3033ÍSE408G20250,3033ÍSE603G20250,6
3033ÍSE603G20250,3033ÍSE408G20250,6
2021HJÚ617G20250,2021HJÚ618G20250,100
2021HJÚ618G20250,2021HJÚ617G20250,100
2021HJÚ617G20250,2021HJÚ620G20250,100
2021HJÚ620G20250,2021HJÚ617G20250,100
2021HJÚ617G20250,2021HJÚ627G20250,102
2021HJÚ627G20250,2021HJÚ617G20250,102
2021HJÚ617G20250,2021HJÚ632G20250,95
2021HJÚ632G20250,2021HJÚ617G20250,95
2021HJÚ617G20250,2021HJÚ633G20250,102
2021HJÚ633G20250,2021HJÚ617G20250,102
2021HJÚ618G20250,2021HJÚ620G20250,98
2021HJÚ620G20250,2021HJÚ618G20250,98
2021HJÚ618G20250,2021HJÚ627G20250,101
2021HJÚ627G20250,2021HJÚ618G20250,101
2021HJÚ618G20250,2021HJÚ632G20250,98
2021HJÚ632G20250,2021HJÚ618G20250,98
2021HJÚ618G20250,2021HJÚ633G20250,100
2021HJÚ633G20250,2021HJÚ618G20250,100
2021HJÚ620G20250,2021HJÚ627G20250,99
2021HJÚ627G20250,2021HJÚ620G20250,99
2021HJÚ620G20250,2021HJÚ632G20250,94
2021HJÚ632G20250,2021HJÚ620G20250,94
2021HJÚ620G20250,2021HJÚ633G20250,100
2021HJÚ633G20250,2021HJÚ620G20250,100
2021HJÚ627G20250,2021HJÚ632G20250,98
2021HJÚ632G20250,2021HJÚ627G20250,98
2021HJÚ627G20250,2021HJÚ633G20250,103
2021HJÚ633G20250,2021HJÚ627G20250,103
2021HJÚ632G20250,2021HJÚ633G20250,95
2021HJÚ633G20250,2021HJÚ632G20250,95
4042MEX020G20250,5051HBV401G20250,1
5051HBV401G20250,4042MEX020G20250,1
4042MEX020G20250,5051REI603M20250,3
5051REI603M20250,4042MEX020G20250,3
4042MEX020G20250,5053UAU027F20250,2
5053UAU027F20250,4042MEX020G20250,2
4042MEX020G20250,5056UMV205M20250,5
5056UMV205M20250,4042MEX020G20250,5
5051HBV401G20250,5051REI603M20250,4
5051REI603M20250,5051HBV401G20250,4
5051HBV401G20250,5053UAU027F20250,1
5053UAU027F20250,5051HBV401G20250,1
5051HBV401G20250,5056UMV205M20250,1
5056UMV205M20250,5051HBV401G20250,1
5051REI603M20250,5053UAU027F20250,1
5053UAU027F20250,5051REI603M20250,1
5051REI603M20250,5056UMV205M20250,1
5056UMV205M20250,5051REI603M20250,1
